,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],0.0,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],0.0,0.0,100000.0,kW,Installed capacity of AD,unique
unit_install[BOI],0.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],-0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],-0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],-0.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],0.0,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3.8079756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],0.0,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,-3223.5170397726943,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.0006024162077362513,0.0,10000.0,,,
grid_export_a[Elec],198.50523589245768,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],0.0,0.0,10000.0,,,
grid_import_a[Gas],386.08224513697144,0.0,10000.0,,,
unused_a[Biomass],24.946736108110017,0.0,10000.0,,,
unused_a[Biogas],0.0,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,69.91299706368419,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,0.003807975600000001,-10000.0,10000.0,MCHF,total CAPEX,
opex,0.015006160739561101,0.0,10000.0,MCHF/year,total annual opex,
totex,0.015250431440592039,0.0,10000.0,MCHF/year,total annualized expenses,
