,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],653.5687659125804,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2491.070039830022,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],38.006661949152004,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,100000.0,kW,Installed capacity of AD,unique
unit_size[CGT],1000.0,0.0,100000.0,kWh,Installed capacity of CGT,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_install[CGT],1.0,0.0,1.0,-,CGT decision variable,bool
unit_capex[BOI],130.3644967574777,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],8802.973444298756,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],171.6407821677946,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
unit_capex[CGT],130.54139999999998,0.0,10000.0,kCHF,Investment cost of CGT,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty_a,0.5773208866269555,0.0,10000.0,MCHF,Sum of Penalty for deviating from the comfort temperature,unique
grid_export_a[Elec],93.20906148551902,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],488.9834385636694,0.0,10000.0,,,
grid_import_a[Gas],1971.0173361640916,0.0,10000.0,,,
unused_a[Biomass],0.0,0.0,10000.0,,,
unused_a[Biogas],0.026951931225450757,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,420.485915563213,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,unique
capex,9.3287153575889,-10000.0,10000.0,MCHF,total CAPEX,unique
opex,0.26758068722956646,0.0,10000.0,MCHF/year,total annual opex,unique
totex,0.8659909922000923,0.0,10000.0,MCHF/year,total annualized expenses,unique
