,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],1000.0,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],1000.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],1000.0,0.0,100000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],195.84,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1290.9246,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3807.9756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],2709.0,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.01584639854279329,0.0,10000.0,,,
grid_export_a[Elec],0.0,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],19.56721457357276,0.0,10000.0,,,
grid_import_a[Gas],130.73070535434354,0.0,10000.0,,,
unused_a[Biomass],0.0,0.0,10000.0,,,
unused_a[Biogas],0.0,0.0,10000.0,,,
unused_a[Gas],8.583356247982012e-15,0.0,10000.0,,,
emissions,26.216868515551806,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,18.0037402,-10000.0,10000.0,MCHF,total CAPEX,
opex,0.015154587926004945,0.0,10000.0,MCHF/year,total annual opex,
totex,1.170042828237441,0.0,10000.0,MCHF/year,total annualized expenses,
