,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],1000.0,0.0,100000.0,kW,Installed capacity of BOI,unique
unit_size[PV],2829.932979096838,0.0,100000.0,kW,Installed capacity of PV,unique
unit_size[BAT],1000.0,0.0,100000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],1000.0,0.0,100000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],1000.0,0.0,100000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],1.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],1.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],195.84,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],10000.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],1290.9246,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3807.9756000000007,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],2709.0,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.0016306391619100016,0.0,10000.0,,,
grid_export_a[Elec],17.69434124226358,0.0,10000.0,,,
grid_export_a[Gas],0.0,0.0,10000.0,,,
grid_import_a[Elec],5.981759063004732,0.0,10000.0,,,
grid_import_a[Gas],181.97616622322826,0.0,10000.0,,,
unused_a[Biomass],6.065430671667832,0.0,10000.0,,,
unused_a[Biogas],0.0,0.0,10000.0,,,
unused_a[Gas],0.0,0.0,10000.0,,,
emissions,33.730449832428015,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,18.0037402,-10000.0,10000.0,MCHF,total CAPEX,
opex,0.014578168173598312,0.0,10000.0,MCHF/year,total annual opex,
totex,1.1694664084850346,0.0,10000.0,MCHF/year,total annualized expenses,
